#NAME	year	sample_dna	soil_type	sampling_site	season	soil_depth	soil_depth_num	sampling_site_depth	soil_depth_two	rhizosphere	rhizosphere_type	rhizosphere_type_seasons
2020-391	2020	391	Control	T3	Spring	0 (roots Aconitum)	10	T3-top	top	rhizosphere	T3_roots_Aconitum	T3_roots_Aconitum
2020-392	2020	392	Control	T3	Spring	0 (roots Aconitum)	10	T3-top	top	rhizosphere	T3_roots_Aconitum	T3_roots_Aconitum
2020-393	2020	393	Control	T3	Spring	0 (roots Aconitum)	10	T3-top	top	rhizosphere	T3_roots_Aconitum	T3_roots_Aconitum
2020-394	2020	394	Control	T3	Spring	0 (roots Aconitum)	10	T3-top	top	rhizosphere	T3_roots_Aconitum	T3_roots_Aconitum
2020-395	2020	395	Control	T3	Spring	0 (roots Aconitum)	10	T3-top	top	rhizosphere	T3_roots_Aconitum	T3_roots_Aconitum
2020-291	2020	291	Chern_taiga	N1	Spring	0 (roots Aconitum)	10	N1-top	top	rhizosphere	N1_roots_Aconitum	N1_roots_Aconitum
2020-292	2020	292	Chern_taiga	N1	Spring	0 (roots Aconitum)	10	N1-top	top	rhizosphere	N1_roots_Aconitum	N1_roots_Aconitum
2020-293	2020	293	Chern_taiga	N1	Spring	0 (roots Aconitum)	10	N1-top	top	rhizosphere	N1_roots_Aconitum	N1_roots_Aconitum
2020-294	2020	294	Chern_taiga	N1	Spring	0 (roots Aconitum)	10	N1-top	top	rhizosphere	N1_roots_Aconitum	N1_roots_Aconitum
2020-295	2020	295	Chern_taiga	N1	Spring	0 (roots Aconitum)	10	N1-top	top	rhizosphere	N1_roots_Aconitum	N1_roots_Aconitum
